,,,,,Funnel step: Added to cart,Funnel step: Reached checkout page,Funnel step: purchase (also is considred conversion),
Product,/products/17-tall-u-shaped-raised-garden-bed-kit-standard-size,2021-W52,218,233,6,1,0,66.09%
Product,/products/vego-garden-gift-card-1,2021-W52,10,10,0,1,1,70.00%
Product,/products/vego-garden-sticker-kit,2021-W52,7,7,0,0,0,71.43%
Checkout,/orders,2021-W52,33,44,0,0,0,86.36%
Blog Article,/blogs/articles/9-tips-for-successful-raised-garden-bed-gardening,2021-W52,76,79,0,0,0,77.22%
Blog Article,/blogs/articles/how-to-grow-onions,2021-W52,3,3,0,0,0,100.00%
Custom Page,/pages/refer-and-earn,2021-W52,6,12,0,0,0,75.00%
Blog Index,/blogs/academy,2021-W52,1,1,0,0,0,100.00%
Blog Article,/blogs/articles/how-to-grow-brussel-sprouts,2021-W52,1,1,0,0,0,100.00%
Blog Article,/blogs/articles/growing-mother-in-laws-tongue-plant,2021-W52,7,8,0,0,0,75.00%
Blog Article,/blogs/articles/how-to-grow-tomatoes,2021-W52,2,2,0,0,0,100.00%
Checkout,/gift_cards/28622716963/855630676210335289ac44fcaf046b3b,2021-W52,1,1,0,0,0,100.00%
Product,/products/17-tall-l-shaped-raised-garden-bed-kit-large-size,2021-W52,103,113,3,0,0,73.45%
Blog Article,/blogs/articles/how-to-water-succulents,2021-W52,4,4,0,0,0,100.00%
Blog Article,/blogs/articles/how-to-get-rid-of-gnats,2021-W52,1,1,0,0,0,100.00%
Blog Article,/blogs/articles/why-is-everyone-obsessed-with-modular-garden-beds,2021-W52,4,4,0,0,0,75.00%
Blog Article,/blogs/academy/vego-garden-diy-ideas,2021-W52,10,10,0,0,0,60.00%
Blog Article,/blogs/articles/how-to-grow-garlic,2021-W52,6,7,0,0,0,100.00%
Blog Article,/blogs/articles/wandering-jew-plant-care,2021-W52,20,21,0,0,0,95.24%
Collection,/collections/small-garden-collection,2021-W52,5,7,0,0,0,57.14%
Blog Article,/blogs/articles/vego-garden-special-shapes,2021-W52,1,1,0,0,0,0.00%
Custom Page,/pages/terms-of-service,2021-W52,1,1,0,0,0,0.00%
Blog Index,/blogs/articles,2021-W52,18,19,0,0,0,36.84%
Blog Article,/blogs/articles/7-tips-for-successful-raised-bed-gardening,2021-W52,1,1,0,0,0,0.00%
Collection,/collections/herb-kids-gardens,2021-W52,7,7,0,0,0,28.57%
App Generated,/apps/faq,2021-W52,31,33,1,0,0,48.48%
Blog Article,/blogs/articles/metal-raised-garden-beds-vs-wood-raised-garden-beds,2021-W52,61,63,0,0,0,60.32%
Blog Article,/blogs/articles/pros-and-cons-of-raised-bed-vegetable-gardening,2021-W52,3,3,0,0,0,33.33%
Custom Page,/pages/contact-us,2021-W52,20,25,1,0,0,68.00%
Custom Page,/pages/track-orders,2021-W52,93,107,0,0,0,71.96%
Blog Article,/blogs/articles/8-excellent-reasons-to-use-raised-beds-in-your-garden,2021-W52,5,5,0,0,0,60.00%
Collection,/collections/pre-order-items-list,2021-W52,1,1,0,0,0,100.00%
Blog Article,/blogs/articles/how-to-build-a-raised-garden-bed-and-garden-boxes,2021-W52,8,8,0,0,0,100.00%
Collection,/collections/help-me-choose,2021-W52,15,15,0,0,0,73.33%
Custom Page,/pages/happy-customers,2021-W52,21,23,1,0,0,69.57%
Blog Article,/blogs/articles/how-deep-should-raised-garden-beds-be,2021-W52,4,4,0,0,0,75.00%
Checkout,/gift_cards/28622716963/2aefcfe0904343566ea563da67318b1d,2021-W52,1,1,0,0,0,100.00%
Blog Article,/blogs/articles/what-to-know-before-building-a-raised-garden-bed,2021-W52,3,3,0,0,0,100.00%
List of Collections,/collections,2021-W52,17,17,2,0,0,35.29%
Checkout,/gift_cards/28622716963/1891ec41c3cd064990423fd3530ebe7e,2021-W52,1,1,0,0,0,100.00%
Blog Article,/blogs/articles/ideas-for-customizable-metal-raised-garden-beds,2021-W52,2,2,0,0,0,100.00%
Blog Article,/blogs/articles/how-to-grow-orchids,2021-W52,1,1,0,0,0,100.00%
Blog Article,/blogs/academy/why-is-aluzinc-steel-the-best-material-for-raised-garden-beds,2021-W52,16,16,0,0,0,50.00%
Blog Article,/blogs/articles/how-to-plant-asparagus,2021-W52,1,1,0,0,0,0.00%
Blog Article,/blogs/articles/why-modular-garden-beds-are-the-new-trend,2021-W52,1,3,0,0,0,66.67%
Blog Article,/blogs/articles/how-much-soil-do-i-need-for-a-raised-garden-bed,2021-W52,31,33,0,0,0,75.76%
Blog Article,/blogs/articles/difference-between-garden-soil-and-raised-bed-soil,2021-W52,18,19,0,0,0,78.95%
Blog Article,/blogs/articles/the-best-ways-to-utilize-modular-garden-beds,2021-W52,1,1,0,0,0,100.00%
Blog Article,/blogs/articles/the-best-raised-garden-bed-options-for-the-backyard,2021-W52,48,48,0,0,0,72.92%
Custom Page,/pages/vego-garden-donation,2021-W52,2,2,0,0,0,50.00%
Collection,/collections/17-tall-diy-components,2021-W52,3,3,0,0,0,0.00%
Custom Page,/pages/kids-program,2021-W52,9,12,0,0,0,58.33%
Product,/products/17-tall-u-shaped-raised-garden-bed-kit-large-size,2021-W52,274,287,2,0,0,77.70%
Blog Article,/blogs/articles/how-to-plant-potatoes,2021-W52,5,6,0,0,0,83.33%
Collection,/collections/special-shapes,2021-W52,527,540,4,0,0,67.59%
Blog Article,/blogs/academy/how-to-fill-raised-garden-beds-and-save-money,2021-W52,830,847,1,0,0,84.53%
Custom Page,/pages/refund-policy,2021-W52,1,1,0,0,0,100.00%
Blog Article,/blogs/articles/how-to-grow-basil,2021-W52,5,6,0,0,0,83.33%
Blog Article,/blogs/articles/vegetables-to-grow-in-winter,2021-W52,3,3,0,0,0,100.00%
Collection,/collections/extra-tall-32-raised-bed,2021-W52,69,94,2,0,0,70.21%
Customer Account,/account/invalid_token,2021-W52,4,4,0,0,0,25.00%
Homepage,,2022-W01,29046,31222,729,358,270,58.32%
Collection,/collections/on-sale,2022-W01,5047,5585,252,146,106,59.53%
Checkout,/checkouts,2022-W01,173,222,3,75,32,62.61%
Cart,/cart,2022-W01,448,710,84,52,33,53.24%
Collection,/collections/all,2022-W01,1983,2194,83,46,33,44.94%
Product,/products/vego-garden-6-in-1-modular-raised-garden-bed-kit,2022-W01,4846,5419,148,45,31,75.92%
Product,/products/9-in-1-modular-raised-garden-bed,2022-W01,1396,1670,75,41,32,68.02%
Product,/products/32-extra-tall-9-in-1-modular-raised-garden-bed-kit,2022-W01,4094,4476,96,35,22,71.98%
Product,/products/32-extra-tall-10-in-1-modular-raised-garden-bed-kit,2022-W01,3797,4186,100,33,28,73.20%
Product,/products/10-in-1-modular-metal-raised-garden-bed-kit,2022-W01,2756,3091,67,29,19,74.73%
Product,/products/worm-farm-worm-composter,2022-W01,1481,1617,41,26,21,75.70%
Product,/products/17-tall-42-wide-round-metal-raised-garden-bed,2022-W01,879,969,47,23,20,70.49%
Product,/products/cascading-raised-garden-bed-kit-standard-size,2022-W01,2702,2845,50,16,9,79.30%
Product,/products/32-extra-tall-6-in-1-modular-raised-garden-bed-kit,2022-W01,558,681,24,11,7,72.10%
Product,/products/17-tall-u-shaped-raised-garden-bed-kit-standard-size,2022-W01,571,634,12,9,3,68.77%
Product,/products/17-tall-4-in-1-modular-metal-raised-garden-bed-kit,2022-W01,506,569,21,9,6,66.96%
Product,/products/17-tall-u-shaped-raised-garden-bed-kit-jumbo-size,2022-W01,1887,2033,27,9,7,78.65%
Product,/products/32extra-tall-42-round-metal-garden-bed,2022-W01,642,684,29,7,4,66.67%
Collection,/collections/vego-garden-17-standard-kits,2022-W01,264,320,10,6,4,65.63%
Product,/products/herb-garden-24-wide-17-tall-twin-pack,2022-W01,748,783,13,5,4,72.29%
Collection,/collections/extra-tall-32-raised-bed,2022-W01,164,231,10,4,4,63.20%
Product,/products/32-extra-tall-4-in-1-modular-raised-garden-bed-kit,2022-W01,312,360,7,4,4,70.56%
Custom Page,/pages/design-galleries,2022-W01,262,333,8,4,2,63.66%
Product,/products/connecting-rod-bag,2022-W01,486,507,5,3,2,67.85%
Blog Article,/blogs/academy/how-to-fill-raised-garden-beds-and-save-money,2022-W01,1590,1686,3,3,2,82.27%
Customer Account,/account,2022-W01,22,25,3,3,3,40.00%
Product,/products/17-tall-vego-garden-2-ft-extension-kit,2022-W01,50,56,2,2,2,73.21%
Collection,/collections/special-shapes,2022-W01,1180,1215,9,2,2,71.11%
Collection,/collections/herb-kids-gardens,2022-W01,30,34,3,2,1,61.76%
Custom Page,/pages/about-vego,2022-W01,120,135,3,2,2,40.00%
Custom Page,/pages/happy-customers,2022-W01,57,65,3,2,2,64.62%
Blog Article,/blogs/articles/5-reasons-to-start-your-garden-in-the-winter,2022-W01,2814,2985,10,1,1,64.05%
Blog Article,/blogs/articles/the-best-raised-garden-bed-options-for-the-backyard,2022-W01,128,134,1,1,0,70.90%
Blog Article,/blogs/academy/why-is-aluzinc-steel-the-best-material-for-raised-garden-beds,2022-W01,47,54,2,1,1,68.52%
Product,/products/17-inch-tall-kids-first-raised-bed,2022-W01,150,171,6,1,0,70.18%
Collection,/collections/17-tall-diy-components,2022-W01,33,41,2,1,0,48.78%
Product,/products/17-tall-u-shaped-raised-garden-bed-kit-large-size,2022-W01,520,583,2,1,1,78.90%
Product,/products/17-tall-l-shaped-raised-garden-bed-kit-standard-size,2022-W01,177,201,3,1,0,73.13%
Custom Page,/pages/contact-us,2022-W01,66,93,1,1,0,77.42%
List of Collections,/collections,2022-W01,54,61,1,1,1,42.62%
Customer Account,/account/login,2022-W01,38,45,2,1,1,42.22%
Product,/products/vego-garden-sticker-kit,2022-W01,28,28,0,0,0,64.29%
Blog Article,/blogs/articles/9-tips-for-successful-raised-garden-bed-gardening,2022-W01,210,221,0,0,0,80.09%
Checkout,/gift_cards/28622716963/46f0c07bba7f31cea486fc9cd2eb5041,2022-W01,2,2,0,0,0,100.00%
Blog Article,/blogs/articles/how-much-soil-do-i-need-for-a-raised-garden-bed,2022-W01,173,189,0,0,0,83.60%
Blog Article,/blogs/articles/difference-between-garden-soil-and-raised-bed-soil,2022-W01,82,93,1,0,0,73.12%
Blog Article,/blogs/articles/how-to-get-rid-of-fruit-flies,2022-W01,10,10,0,0,0,100.00%
Blog Article,/blogs/articles/why-is-everyone-obsessed-with-modular-garden-beds,2022-W01,2,2,0,0,0,100.00%
Blog Article,/blogs/articles/gift-ideas-for-gardeners,2022-W01,2,2,0,0,0,50.00%
Checkout,/gift_cards/28622716963/73bd175f031e0736db51cbfcf9f56177,2022-W01,1,1,0,0,0,0.00%
Custom Page,/pages/refer-and-earn,2022-W01,15,16,0,0,0,43.75%
Blog Article,/blogs/articles/what-to-know-before-building-a-raised-garden-bed,2022-W01,2,2,0,0,0,100.00%
Blog Article,/blogs/articles/how-to-water-succulents,2022-W01,19,26,0,0,0,84.62%
Product,/products/vego-garden-gift-card-1,2022-W01,10,14,0,0,0,78.57%
Customer Account,/account/register,2022-W01,4,12,0,0,0,66.67%
Blog Article,/blogs/articles/everything-you-need-to-know-about-raised-garden-beds,2022-W01,1,1,0,0,0,100.00%
Custom Page,/pages/vego-garden-donation,2022-W01,4,4,0,0,0,100.00%
Blog Article,/blogs/articles/how-to-grow-onions,2022-W01,8,9,0,0,0,88.89%
Blog Article,/blogs/academy/vego-garden-diy-ideas,2022-W01,23,27,0,0,0,74.07%
Custom Page,/pages/why-we-are-the-best,2022-W01,39,41,0,0,0,48.78%
Checkout,/gift_cards/28622716963/6a60f94a88aa4fab8a903fe8bc16d20d,2022-W01,1,1,0,0,0,0.00%
Blog Article,/blogs/articles/how-to-grow-tomatoes,2022-W01,2,2,0,0,0,100.00%
Collection,/collections/small-garden-collection,2022-W01,6,6,0,0,0,33.33%
Blog Article,/blogs/articles/how-to-grow-brussel-sprouts,2022-W01,10,12,0,0,0,91.67%
Custom Page,/pages/our-mission,2022-W01,1,1,0,0,0,0.00%
Blog Article,/blogs/articles/ideas-for-customizable-metal-raised-garden-beds,2022-W01,4,4,1,0,0,50.00%
Blog Article,/blogs/articles/metal-raised-garden-beds-vs-wood-raised-garden-beds,2022-W01,119,121,1,0,0,73.55%
Checkout,/gift_cards/28622716963/f9dc005462d134254131452fb98ce7b0,2022-W01,1,1,0,0,0,100.00%
Collection,/collections/best-sellers,2022-W01,64,77,1,0,0,63.64%
Blog Article,/blogs/articles/7-beginner-raised-bed-gardening-mistakes-to-avoid,2022-W01,4,5,0,0,0,80.00%
Blog Article,/blogs/articles/do-raised-garden-beds-need-drainage,2022-W01,1,1,0,0,0,0.00%
Custom Page,/pages/refund-policy,2022-W01,10,12,0,0,0,41.67%
Blog Article,/blogs/articles/how-to-plant-potatoes,2022-W01,28,31,0,0,0,83.87%
Collection,/collections/help-me-choose,2022-W01,17,23,0,0,0,86.96%
Blog Article,/blogs/articles/how-deep-should-raised-garden-beds-be,2022-W01,11,13,0,0,0,76.92%
Blog Article,/blogs/articles/vego-garden-special-shapes,2022-W01,3,4,0,0,0,75.00%
Custom Page,/pages/new-product-launching,2022-W01,145,183,1,0,0,77.05%
Blog Index,/blogs/articles,2022-W01,27,37,0,0,0,32.43%
Custom Page,/pages/terms-of-service,2022-W01,1,1,0,0,0,100.00%
Product,/products/17-tall-l-shaped-raised-garden-bed-kit-large-size,2022-W01,278,318,5,0,0,70.44%
App Generated,/apps/faq,2022-W01,109,160,2,0,0,71.25%
Blog Article,/blogs/articles/how-to-grow-orchids,2022-W01,1,1,0,0,0,100.00%
Blog Article,/blogs/articles/pros-and-cons-of-raised-bed-vegetable-gardening,2022-W01,7,7,0,0,0,85.71%
Checkout,/gift_cards/28622716963/5f33b81de5bda2665da6710d766fbbca,2022-W01,1,1,0,0,0,0.00%
Blog Article,/blogs/articles/the-best-ways-to-utilize-modular-garden-beds,2022-W01,3,3,0,0,0,66.67%
Custom Page,/pages/track-orders,2022-W01,350,438,0,0,0,66.21%
Blog Article,/blogs/articles/how-to-get-rid-of-gnats,2022-W01,5,5,0,0,0,100.00%
Blog Article,/blogs/articles/how-to-grow-lemon-balm,2022-W01,4,4,0,0,0,25.00%
Blog Article,/blogs/articles/8-excellent-reasons-to-use-raised-beds-in-your-garden,2022-W01,14,14,0,0,0,35.71%
Checkout,/orders,2022-W01,123,176,0,0,0,77.84%
Blog Article,/blogs/articles/growing-mother-in-laws-tongue-plant,2022-W01,15,19,0,0,0,94.74%
Search,/search,2022-W01,18,20,0,0,0,55.00%
Blog Article,/blogs/articles/how-to-grow-garlic,2022-W01,9,12,0,0,0,100.00%
Blog Article,/blogs/articles/wandering-jew-plant-care,2022-W01,54,60,0,0,0,90.00%
Custom Page,/pages/kids-program,2022-W01,12,21,0,0,0,80.95%
Customer Account,/account/orders,2022-W01,1,2,0,0,0,0.00%
Blog Article,/blogs/articles/how-to-grow-basil,2022-W01,15,22,0,0,0,81.82%
Blog Article,/blogs/articles/vegetables-to-grow-in-winter,2022-W01,5,5,0,0,0,80.00%
Blog Article,/blogs/articles/how-to-build-a-raised-garden-bed-and-garden-boxes,2022-W01,31,32,0,0,0,93.75%
Customer Account,/account/invalid_token,2022-W01,10,10,0,0,0,50.00%
Homepage,,2022-W02,35018,37524,764,361,268,58.46%
Collection,/collections/on-sale,2022-W02,5721,6205,241,124,87,59.23%
Checkout,/checkouts,2022-W02,144,170,3,74,35,46.47%
Product,/products/vego-garden-6-in-1-modular-raised-garden-bed-kit,2022-W02,5980,6685,191,73,57,74.88%
Collection,/collections/all,2022-W02,2274,2519,118,64,46,40.97%
Cart,/cart,2022-W02,463,719,98,61,44,58.83%
Product,/products/32-extra-tall-9-in-1-modular-raised-garden-bed-kit,2022-W02,4784,5232,95,33,24,72.92%
Product,/products/9-in-1-modular-raised-garden-bed,2022-W02,1391,1663,56,32,22,71.50%
Product,/products/32-extra-tall-10-in-1-modular-raised-garden-bed-kit,2022-W02,3981,4428,78,30,21,74.37%
Product,/products/10-in-1-modular-metal-raised-garden-bed-kit,2022-W02,2825,3170,72,27,16,75.84%
Product,/products/worm-farm-worm-composter,2022-W02,2124,2321,48,18,14,79.75%
Collection,/collections/vego-garden-17-standard-kits,2022-W02,310,391,23,17,12,59.59%
Blog Article,/blogs/articles/5-reasons-to-start-your-garden-in-the-winter,2022-W02,3691,3894,31,14,11,63.92%
Product,/products/17-tall-4-in-1-modular-metal-raised-garden-bed-kit,2022-W02,375,461,21,10,7,70.07%
Product,/products/32-extra-tall-6-in-1-modular-raised-garden-bed-kit,2022-W02,605,701,21,9,7,68.90%
Product,/products/17-tall-42-wide-round-metal-raised-garden-bed,2022-W02,772,877,22,9,6,72.63%
Product,/products/cascading-raised-garden-bed-kit-standard-size,2022-W02,3629,3777,56,9,5,81.39%
Product,/products/17-tall-u-shaped-raised-garden-bed-kit-jumbo-size,2022-W02,1556,1651,25,7,5,77.77%
Collection,/collections/extra-tall-32-raised-bed,2022-W02,209,291,14,7,4,60.14%
Product,/products/17-tall-u-shaped-raised-garden-bed-kit-standard-size,2022-W02,775,843,14,6,5,64.77%
Product,/products/32-extra-tall-4-in-1-modular-raised-garden-bed-kit,2022-W02,250,302,8,6,2,64.57%
Custom Page,/pages/design-galleries,2022-W02,306,377,10,6,3,62.86%
Collection,/collections/special-shapes,2022-W02,1385,1428,15,5,4,70.87%
Product,/products/32extra-tall-42-round-metal-garden-bed,2022-W02,739,786,18,5,3,76.97%
Custom Page,/pages/happy-customers,2022-W02,76,89,5,4,3,47.19%
Product,/products/connecting-rod-bag,2022-W02,310,311,7,4,3,67.20%
Custom Page,/pages/about-vego,2022-W02,124,132,4,3,2,37.88%
Blog Article,/blogs/academy/how-to-fill-raised-garden-beds-and-save-money,2022-W02,1571,1690,3,3,1,80.59%
Customer Account,/account/login,2022-W02,36,44,3,2,2,34.09%
List of Collections,/collections,2022-W02,43,48,1,2,2,43.75%
Blog Article,/blogs/articles/vegetables-to-grow-in-winter,2022-W02,780,907,5,2,2,81.04%
Custom Page,/pages/new-products,2022-W02,152,171,2,2,2,57.89%
Product,/products/17-tall-u-shaped-raised-garden-bed-kit-large-size,2022-W02,419,462,6,2,1,77.06%
Custom Page,/pages/track-orders,2022-W02,345,395,2,1,1,62.78%
Blog Article,/blogs/academy/vego-garden-diy-ideas,2022-W02,23,27,1,1,1,59.26%
Custom Page,/pages/contact-us,2022-W02,95,112,1,1,0,71.43%
Product,/products/17-tall-vego-garden-2-ft-extension-kit,2022-W02,36,39,1,1,1,64.10%
Blog Article,/blogs/articles/raised-garden-bed-buying-guide,2022-W02,3,4,1,1,0,25.00%
Blog Article,/blogs/articles/metal-raised-garden-beds-vs-wood-raised-garden-beds,2022-W02,74,75,2,1,1,73.33%
Product,/products/17-tall-l-shaped-raised-garden-bed-kit-standard-size,2022-W02,143,170,3,1,1,69.41%
App Generated,/apps/faq,2022-W02,117,174,3,1,1,70.11%
Checkout,/orders,2022-W02,105,144,1,1,1,79.17%
Custom Page,/pages/kids-program,2022-W02,10,50,1,1,1,88.00%
Blog Article,/blogs/articles/9-tips-for-successful-raised-garden-bed-gardening,2022-W02,213,228,3,1,0,80.26%
Customer Account,/account/invalid_token,2022-W02,27,30,1,1,0,60.00%
Product,/products/herb-garden-24-wide-17-tall-twin-pack,2022-W02,638,675,10,1,0,73.63%
Search,/search,2022-W02,24,30,1,1,1,56.67%
Blog Article,/blogs/articles/the-best-raised-garden-bed-options-for-the-backyard,2022-W02,85,88,3,1,0,73.86%
Collection,/collections/vego-garden-diy-components,2022-W02,1,1,1,1,0,0.00%
Product,/products/vego-garden-sticker-kit,2022-W02,42,43,0,0,0,58.14%
Checkout,/gift_cards/28622716963/aac7e1dfa5abce335aa41ad93766b381,2022-W02,1,1,0,0,0,100.00%
Blog Article,/blogs/articles/pros-and-cons-of-raised-bed-vegetable-gardening,2022-W02,10,10,0,0,0,50.00%
Product,/products/vego-garden-gift-card-1,2022-W02,8,8,0,0,0,87.50%
Blog Article,/blogs/articles/why-is-everyone-obsessed-with-modular-garden-beds,2022-W02,5,6,0,0,0,66.67%
Blog Article,/blogs/articles/how-to-grow-tomatoes,2022-W02,1,1,0,0,0,100.00%
Checkout,/gift_cards/28622716963/ee7343fa8b6b2925fd24b42324fdc6e1,2022-W02,2,3,0,0,0,100.00%
Custom Page,/pages/vego-garden-donation,2022-W02,3,7,0,0,0,71.43%
Customer Account,/account/register,2022-W02,4,4,0,0,0,25.00%
Custom Page,/pages/contest062021,2022-W02,1,1,0,0,0,100.00%
Blog Article,/blogs/articles/ideas-for-customizable-metal-raised-garden-beds,2022-W02,2,2,0,0,0,50.00%
Blog Article,/blogs/academy/why-is-aluzinc-steel-the-best-material-for-raised-garden-beds,2022-W02,51,55,0,0,0,67.27%
Collection,/collections/small-garden-collection,2022-W02,8,8,0,0,0,25.00%
Collection,/collections/help-me-choose,2022-W02,2,2,0,0,0,50.00%
Blog Article,/blogs/articles/what-to-know-before-building-a-raised-garden-bed,2022-W02,2,3,0,0,0,33.33%
Blog Article,/blogs/articles/7-tips-for-successful-raised-bed-gardening,2022-W02,2,2,0,0,0,100.00%
Product,/products/17-inch-tall-kids-first-raised-bed,2022-W02,141,151,0,0,0,73.51%
Blog Article,/blogs/articles/how-to-plant-asparagus,2022-W02,1,1,0,0,0,0.00%
Blog Article,/blogs/articles/everything-you-need-to-know-about-raised-garden-beds,2022-W02,2,2,0,0,0,50.00%
Blog Article,/blogs/articles/how-much-soil-do-i-need-for-a-raised-garden-bed,2022-W02,225,240,0,0,0,84.17%
Blog Article,/blogs/articles/preparing-your-winter-garden-for-spring,2022-W02,7,8,0,0,0,75.00%
Customer Account,/account/orders,2022-W02,9,12,0,0,0,41.67%
Blog Article,/blogs/articles/5-best-raised-garden-beds-in-2021,2022-W02,1,1,0,0,0,100.00%
Blog Article,/blogs/articles/how-to-get-rid-of-gnats,2022-W02,2,3,0,0,0,100.00%
Blog Article,/blogs/articles/8-excellent-reasons-to-use-raised-beds-in-your-garden,2022-W02,26,28,1,0,0,64.29%
Blog Article,/blogs/articles/how-to-compost-at-home-for-beginners,2022-W02,4,4,0,0,0,75.00%
Custom Page,/pages/refund-policy,2022-W02,12,13,1,0,0,69.23%
Collection,/collections/17-tall-diy-components,2022-W02,33,37,0,0,0,59.46%
Blog Article,/blogs/articles/how-to-grow-garlic,2022-W02,17,19,0,0,0,94.74%
Custom Page,/pages/why-we-are-the-best,2022-W02,36,41,0,0,0,53.66%
Blog Article,/blogs/articles/how-to-grow-basil,2022-W02,11,11,0,0,0,81.82%
Checkout,/gift_cards/28622716963/78f14d64d53e86909998ca6160c6b296,2022-W02,1,2,0,0,0,100.00%
Blog Article,/blogs/articles/how-to-grow-and-harvest-lettuce,2022-W02,1,1,0,0,0,100.00%
Custom Page,/pages/refer-and-earn,2022-W02,27,29,2,0,0,37.93%
Blog Article,/blogs/articles/how-deep-should-raised-garden-beds-be,2022-W02,9,9,0,0,0,55.56%
Blog Index,/blogs/academy,2022-W02,3,3,0,0,0,66.67%
Blog Article,/blogs/articles/vego-garden-special-shapes,2022-W02,2,2,0,0,0,50.00%
Custom Page,/pages/new-product-launching,2022-W02,193,251,1,0,0,64.14%
Custom Page,/pages/our-mission,2022-W02,2,2,0,0,0,50.00%
Blog Article,/blogs/articles/how-to-grow-brussel-sprouts,2022-W02,9,9,0,0,0,100.00%
Blog Index,/blogs/articles,2022-W02,33,37,0,0,0,32.43%
Product,/products/17-tall-l-shaped-raised-garden-bed-kit-large-size,2022-W02,340,376,5,0,0,75.00%
Blog Article,/blogs/articles/how-to-water-succulents,2022-W02,18,22,0,0,0,100.00%
Blog Article,/blogs/articles/why-modular-garden-beds-are-the-new-trend,2022-W02,2,2,0,0,0,50.00%
Blog Article,/blogs/articles/difference-between-garden-soil-and-raised-bed-soil,2022-W02,98,106,0,0,0,73.58%
Blog Article,/blogs/articles/the-best-ways-to-utilize-modular-garden-beds,2022-W02,2,2,0,0,0,50.00%
Collection,/collections/in-stock-item-list,2022-W02,1,1,1,0,0,0.00%
Collection,/collections/herb-kids-gardens,2022-W02,44,48,1,0,0,64.58%
Blog Article,/blogs/articles/how-to-grow-lemon-balm,2022-W02,7,7,0,0,0,85.71%
Blog Article,/blogs/articles/how-to-get-rid-of-fruit-flies,2022-W02,7,8,0,0,0,87.50%
Blog Article,/blogs/articles/do-raised-garden-beds-need-drainage,2022-W02,7,7,0,0,0,57.14%
Custom Page,/pages,2022-W02,1,1,0,0,0,100.00%
Blog Article,/blogs/articles/7-beginner-raised-bed-gardening-mistakes-to-avoid,2022-W02,6,6,0,0,0,33.33%
Blog Article,/blogs/articles/growing-mother-in-laws-tongue-plant,2022-W02,23,23,0,0,0,95.65%
Blog Article,/blogs/articles/how-to-plant-potatoes,2022-W02,25,30,0,0,0,80.00%
